countyID,LKType,LKName
3158,LK,Wolfenbüttel
3103,SK,Wolfsburg
7319,SK,Worms
9479,LK,Wunsiedel i.Fichtelgebirge
5124,SK,Wuppertal
9663,SK,Würzburg
9679,LK,Würzburg
8417,LK,Zollernalbkreis
7320,SK,Zweibrücken
14524,LK,Zwickau
